item,exercise,clothes,diet,entertainment,electronics,personalCare
"GOYOUTH 2 in 1 Under Desk Electric Treadmill Motorized Exercise Machine with Wireless Speaker, Remote Control and LED Display, Walking Jogging Machine for Home/Office Use",1,0,0,0,0,0
"Adjustable Dumbbells 55LB Single Dumbbell 5 in 1 Free Dumbbell Weights Adjust with Anti-Slip Metal Handle, Ideal for Full-Body Home Gym Workouts",1,0,0,0,0,0
"GOFITNESS Push Down Bar Machine - Chest Expander at Home Workout Equipment, Arm Exerciser Portable Spring Resistance Exercise Gym Kit for Home, Travel or Outdoors",1,0,0,0,0,0
"Cubii JR2, Under Desk Elliptical, Under Desk Bike Pedal Exerciser, Seated Elliptical, Work from Home Fitness, Mini Elliptical Machines for Home Use, Cubii Exerciser for Seniors, Desk Exercise",1,0,0,0,0,0
"Resistance Bands for Working Out- 5 Pack Loop Exercise Bands with 5 Resistance Levels- Resistance Band Set with Carry Bag- Elastic Workout Bands for Stretching- Fitness Bands for Yoga, Pilates, Rehab",1,0,0,0,0,0
"Niceday Steppers for Exercise, Stair Stepper with Resistance Bands, Mini Stepper with 300LBS Loading Capacity, Hydraulic Fitness Stepper with LCD Monitor",1,0,0,0,0,0
"RENRANRING Resistance Bands for Working Out, 150LBS Exercise Bands, Workout Bands, Resistance Bands Set with Handles for Men Women, Legs Ankle Straps for Muscle Training, Shape Body, Physical Therapy",1,0,0,0,0,0
"Adjustable Weight Bench - Utility Weight Benches for Full Body Workout, Foldable Flat/Incline/Decline Exercise Multi-Purpose Bench for Home Gym",1,0,0,0,0,0
"FitBeast Hand Grip Strengthener Workout Kit (5 Pack) Forearm Grip Adjustable Resistance Hand Gripper, Finger Exerciser, Finger Stretcher, Grip Ring & Stress Relief Grip Ball for Athletes",1,0,0,0,0,0
"Gaiam Essentials Thick Yoga Mat Fitness & Exercise Mat with Easy-Cinch Yoga Mat Carrier Strap, 72""L x 24""W x 2/5 Inch Thick",1,0,0,0,0,0
"Cubii Move, Under Desk Elliptical, Bike Pedal Exerciser, Seated Elliptical, Work from Home Fitness, Mini Elliptical Machines for Home Use, Exerciser for - Adult to Seniors, Desk Exercise",1,0,0,0,0,0
"Dripex Exercise Bike For Home With 15KG Flywheel, Magnetic Resistance, LCD Display, iPad Holder, Comfortable Seat, 330LBS Capacity Indoor Cycling Bike Stationary Bike For Home Gym Workout",1,0,0,0,0,0
"Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men, and Kids, Adjustable Steel Jump Rope Workout with Foam Handles for Fitness, Home Exercise & Slim Body",1,0,0,0,0,0
"Sportsroyals Power Tower Dip Station Pull Up Bar for Home Gym Strength Training Workout Equipment, 400LBS.",1,0,0,0,0,0
"OurStarry 32 Knots Weighted Workout Hoop Plus Size, Smart Waist Exercise Ring for Adults Weight Loss",1,0,0,0,0,0
"Slant Board for Calf Stretching, 5 Adjustable Angles Foot Stretcher for Physical Therapy, 480 lbs Weight Capacity Incline Board Wedge for Home Exercise, Squats and Calf Stretch(Black)",1,0,0,0,0,0
"Sunny Health & Fitness Mini Stepper for Exercise Low-Impact Stair Step Cardio Equipment with Resistance Bands, Digital Monitor, Optional Twist Motion Stepper",1,0,0,0,0,0
"NewMe Fitness Bodyweight Workout Cards, Instructional Fitness Deck for Women & Men, Beginner Fitness Guide to Training Exercises at Home or Gym (Bodyweight, Vol 1)",1,0,0,0,0,0
"Beachbody Exercise Mat, Thick Foam Mat for Jumping, Fitness, Gym or Home Workouts, Yoga, Ab workouts, Stretching, Weightlifting, Slip Resistant, High Density & Ultra Durable",1,0,0,0,0,0
"WIKDAY Resistance Bands, Pull Up Bands, Workout Bands for Exercise, Thick Heavy Resistance Band Set with Door Anchor, Elastic Bands for Body Stretching, Crossfit Training at Home/Gym for Men & Women",1,0,0,0,0,0
Negash Sauna Suit for Men Anti Torn Sweat Sauna Suit Lightweight Waterproof Men Sauna Suit for Boxing Exercise Fitness,1,0,0,0,0,0
"SPORTLIMIT Abs Stimulator, USB Rechargeable Portable Fitness Workout Equipment with 10pcs Free Gel Pads for Men Woman, The Latest Model 6 Modes, 19 Levels of Intensity, SP-710, Black blue",1,0,0,0,0,0
"Resistance Bands, Resistance Band Set, Workout Bands, Exercise Bands for Men and Women, Exercise Bands with Door Anchor, Handles",1,0,0,0,0,0
"Ab Roller Wheel, 10-In-1 Ab Exercise Wheels Kit with Resistance Bands, Knee Mat, Jump Rope, Push-Up Bar - Home Gym Equipment for Men Women Core Strength & Abdominal Exercise",1,0,0,0,0,0
